listing_id,listing_name,host_id,host_name,property_type,room_type_id,location_id,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,number_of_reviews,actual_review_count,first_review_date,last_review_date,review_scores_rating,reviews_per_month
1159111,Capitol Hill 2 BR - St. John's #203,1787819,Christine,Apartment,1,722,6,1.0,2.0,3.0,Real Bed,204.0,3,90,31,31,2013-06-07,2015-12-01,92.0,0.99
9368573,Modern House with Big Views,31148752,Bo,Apartment,1,573,6,2.5,2.0,2.0,Real Bed,295.0,2,1125,0,0,,,0.0,0.0
3773417,Capitol Hill 2bdr w/ Garage Parking,1353882,Mike,Apartment,1,574,3,1.0,2.0,2.0,Real Bed,152.0,4,14,4,4,2014-08-13,2014-09-30,95.0,0.24
9327585,504 Modern Studio on Capitol Hill,42537846,Eric,Apartment,1,575,2,1.0,0.0,1.0,Real Bed,69.0,1,1125,10,10,2015-11-11,2015-12-19,90.0,5.45
6492056,Spacious Capitol Hill house,8977034,Hannah & Bec,House,1,576,6,2.0,2.0,3.0,Real Bed,420.0,2,1125,0,0,,,0.0,0.0
7073650,* Parkside Capitol Hill Jem *,37087453,Sare,Apartment,1,577,2,1.0,1.0,1.0,Real Bed,81.0,2,6,9,9,2015-07-14,2015-10-22,100.0,1.54
9727857,Ideal Location + Bike - (Top Bunk),50201633,Taylor,Apartment,3,723,1,1.0,1.0,1.0,Real Bed,25.0,1,28,3,3,2015-12-21,2015-12-25,100.0,3.0
446276,Fantastic mountain view 2-bdrm home,884680,Timothy,Apartment,1,578,3,1.0,2.0,2.0,Real Bed,195.0,3,7,30,30,2012-06-12,2015-11-29,99.0,0.69
208670,2BR/1BA Capitol Hill Bungalow/Loft,1022302,David,House,1,579,5,1.0,1.0,2.0,Real Bed,169.0,2,365,78,78,2012-02-13,2015-11-09,91.0,1.65
8868833,Walker’s Paradise Cap. Hill Studio,46422666,Michael,Apartment,1,580,3,1.0,0.0,1.0,Real Bed,95.0,2,1125,4,4,2015-10-31,2015-11-20,100.0,1.82
7180032,"Bright Cap Hill space, fab views!",6565884,Katie,Apartment,1,724,3,1.0,2.0,2.0,Real Bed,100.0,5,1125,0,0,,,0.0,0.0
9137259,Capitol Hill Craftsman Cottage Room,5820099,Forest And Andy,House,2,725,2,1.0,1.0,1.0,Real Bed,85.0,1,1125,0,0,,,0.0,0.0
9252998,Stay on Capitol Hill!,14342573,Karen,House,1,581,6,2.0,3.0,3.0,Real Bed,400.0,3,1125,0,0,,,0.0,0.0
7975026,Vintage Apt in Heart of CapitolHill,41006774,Henry,Apartment,1,726,4,1.0,0.0,2.0,Real Bed,120.0,1,1125,1,1,2015-08-23,2015-08-23,80.0,0.22
6278216,Vintage Apt in Heart of CapitolHill,32532664,Isaiah,Apartment,1,727,5,1.0,1.0,3.0,Real Bed,175.0,2,1125,9,9,2015-05-16,2015-10-19,84.0,1.15
6425652,Apartment with a big view!,33530053,Cameron,Apartment,1,582,4,1.0,2.0,2.0,Real Bed,200.0,2,1125,5,5,2015-07-17,2015-09-29,84.0,0.87
7228435,Cite Jardin - An Urban Retreat,37691082,Mik,House,1,728,6,2.5,2.0,2.0,Real Bed,250.0,1,1125,0,0,,,0.0,0.0
9149612,Modern Studio On Capitol Hill 402,24166838,Alan,Apartment,1,583,2,1.0,0.0,1.0,Real Bed,69.0,2,1125,0,0,,,0.0,0.0
8251213,Modern Clean Bright Spacious APT,36383433,Chris,Apartment,1,729,2,1.0,0.0,1.0,Real Bed,129.0,1,1125,12,12,2015-09-21,2015-12-13,100.0,3.4
5548982,Vintage Studio Capitol Hill,66145,Gene,Apartment,1,584,2,1.0,1.0,1.0,Real Bed,59.0,1,7,73,73,2015-03-25,2015-12-31,91.0,7.66
9546633,501 Modern Studio on Capitol Hill,42537846,Eric,Apartment,1,585,2,1.0,0.0,1.0,Real Bed,69.0,1,1125,0,0,,,0.0,0.0
3272374,"Quiet, charming studio with parking",1717300,Claire,Apartment,1,626,2,1.0,1.0,1.0,Pull-out Sofa,75.0,1,5,20,20,2014-06-16,2015-01-18,89.0,1.06
7335567,Micro Studio on Capitol Hill,9176068,Dan,Apartment,1,586,2,1.0,0.0,2.0,Real Bed,71.0,2,1125,16,16,2015-08-05,2015-12-08,93.0,3.14
9563458,Hacker Studio on Capitol Hill,42537846,Eric,Apartment,1,587,1,1.0,0.0,1.0,Real Bed,49.0,1,1125,0,0,,,0.0,0.0
7875887,Private room in Capitol Hill,23352555,Glenn,Apartment,2,730,2,1.0,1.0,1.0,Real Bed,90.0,2,1125,8,8,2015-08-24,2016-01-01,100.0,1.79
3394837,Spacious Urban 1 Bedroom Condo,14980831,Rebecca,Apartment,1,352,4,1.0,1.0,2.0,Real Bed,140.0,3,1125,7,7,2015-05-17,2015-10-13,97.0,0.9
4464795,Queen Hide-A-Bed - Capitol Hill,23165079,Jared,Apartment,3,588,2,1.0,1.0,1.0,Pull-out Sofa,95.0,3,1125,6,6,2015-01-19,2015-08-31,100.0,0.51
6927016,Amenity Filled Fab Cap Hill Studio!,595610,Elena,Apartment,1,589,2,1.0,0.0,1.0,Real Bed,100.0,2,13,50,50,2015-07-10,2015-12-21,94.0,8.38
699596,Comfy Private Oasis on Capitol Hill,3543180,Megan And Saul,House,2,731,2,1.0,1.0,1.0,Real Bed,150.0,3,14,136,136,2012-09-26,2015-09-07,97.0,3.41
6387576,Charming Private 1BR Oasis,32940818,Joe & Ronnimae,House,2,590,2,1.0,1.0,1.0,Real Bed,89.0,1,30,38,38,2015-05-18,2015-12-13,97.0,4.91
8828781,Capitol Hill Bungalow,4655433,Adam,Apartment,1,591,5,1.0,1.0,2.0,Real Bed,140.0,2,1125,0,0,,,0.0,0.0
1198884,1 Bdrm Condo across Convention Ctr,2230478,Sanjaya,Apartment,1,353,4,1.0,1.0,1.0,Real Bed,150.0,3,1125,63,63,2013-06-04,2015-09-11,93.0,2.0
9546508,306 Modern Studio on Capitol Hill,42537846,Eric,Apartment,1,592,2,1.0,0.0,1.0,Real Bed,69.0,1,1125,1,1,2015-11-29,2015-11-29,80.0,0.81
2386589,Charming 1BD in trendy Capitol Hill,2604788,Kabir,Apartment,1,732,4,1.0,1.0,1.0,Real Bed,125.0,1,1125,46,46,2014-03-03,2015-12-29,95.0,2.05
9924107,New! Hip Capitol Hill 1+ bedroom,20219487,Mackenzie,Apartment,1,627,4,1.0,1.0,2.0,Real Bed,110.0,2,1125,2,2,2015-12-30,2016-01-02,100.0,2.0
3386862,Convenient 1Br in Capitol Hill,17088441,Claire,Apartment,1,593,3,1.0,1.0,1.0,Real Bed,152.0,2,11,77,77,2014-08-03,2015-09-28,91.0,4.44
9280767,Private Suite & BR on Capitol Hill,5820099,Forest And Andy,House,2,733,2,1.0,1.0,1.0,Real Bed,105.0,1,1125,0,0,,,0.0,0.0
1520533,Io House (bunk 2U) - SLU walkable ,1243056,Andrew,House,3,594,1,0.5,1.0,1.0,Real Bed,49.0,4,1125,10,10,2013-09-20,2015-10-20,90.0,0.36
9651755,Studio in Downtown/Capitol Hill,49890833,Pauline,Apartment,1,734,2,1.0,0.0,1.0,Real Bed,68.0,3,1125,2,2,2015-12-08,2015-12-14,100.0,2.0
82763,Convenient Capitol Hill Location,450548,Vaibhav,House,2,595,2,1.0,1.0,1.0,Real Bed,100.0,1,30,12,12,2012-09-04,2015-09-22,92.0,0.3
9880665,Cozy Captiol Hill Nest Garden View,6808886,Morgan,Apartment,1,596,3,1.0,1.0,1.0,Real Bed,120.0,2,1125,0,0,,,0.0,0.0
1762354,Bright + Spacious Capitol Hill Home,9263662,Katrina,Apartment,1,597,2,1.0,1.0,1.0,Real Bed,120.0,3,1125,24,24,2013-10-14,2015-12-10,96.0,0.89
2836237,"Studio Appartment, Stunning View",149118,Bart,Apartment,1,598,2,1.0,0.0,1.0,Real Bed,110.0,1,1125,12,12,2015-01-27,2015-05-18,92.0,1.05
