date_id,date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
20160327,2016-03-27,2016,1,3,March,27,7,Sunday,12,1
20160328,2016-03-28,2016,1,3,March,28,1,Monday,13,0
20160329,2016-03-29,2016,1,3,March,29,2,Tuesday,13,0
20160330,2016-03-30,2016,1,3,March,30,3,Wednesday,13,0
20160331,2016-03-31,2016,1,3,March,31,4,Thursday,13,0
20160401,2016-04-01,2016,2,4,April,1,5,Friday,13,0
20160402,2016-04-02,2016,2,4,April,2,6,Saturday,13,1
20160403,2016-04-03,2016,2,4,April,3,7,Sunday,13,1
20160404,2016-04-04,2016,2,4,April,4,1,Monday,14,0
20160405,2016-04-05,2016,2,4,April,5,2,Tuesday,14,0
20160406,2016-04-06,2016,2,4,April,6,3,Wednesday,14,0
20160407,2016-04-07,2016,2,4,April,7,4,Thursday,14,0
20160408,2016-04-08,2016,2,4,April,8,5,Friday,14,0
20160409,2016-04-09,2016,2,4,April,9,6,Saturday,14,1
20160410,2016-04-10,2016,2,4,April,10,7,Sunday,14,1
20160411,2016-04-11,2016,2,4,April,11,1,Monday,15,0
20160412,2016-04-12,2016,2,4,April,12,2,Tuesday,15,0
20160413,2016-04-13,2016,2,4,April,13,3,Wednesday,15,0
20160414,2016-04-14,2016,2,4,April,14,4,Thursday,15,0
20160415,2016-04-15,2016,2,4,April,15,5,Friday,15,0
20160416,2016-04-16,2016,2,4,April,16,6,Saturday,15,1
20160417,2016-04-17,2016,2,4,April,17,7,Sunday,15,1
20160418,2016-04-18,2016,2,4,April,18,1,Monday,16,0
20160419,2016-04-19,2016,2,4,April,19,2,Tuesday,16,0
20160420,2016-04-20,2016,2,4,April,20,3,Wednesday,16,0
20160421,2016-04-21,2016,2,4,April,21,4,Thursday,16,0
20160422,2016-04-22,2016,2,4,April,22,5,Friday,16,0
20160423,2016-04-23,2016,2,4,April,23,6,Saturday,16,1
20160424,2016-04-24,2016,2,4,April,24,7,Sunday,16,1
20160425,2016-04-25,2016,2,4,April,25,1,Monday,17,0
20160426,2016-04-26,2016,2,4,April,26,2,Tuesday,17,0
20160427,2016-04-27,2016,2,4,April,27,3,Wednesday,17,0
20160428,2016-04-28,2016,2,4,April,28,4,Thursday,17,0
20160429,2016-04-29,2016,2,4,April,29,5,Friday,17,0
20160430,2016-04-30,2016,2,4,April,30,6,Saturday,17,1
20160501,2016-05-01,2016,2,5,May,1,7,Sunday,17,1
20160502,2016-05-02,2016,2,5,May,2,1,Monday,18,0
20160503,2016-05-03,2016,2,5,May,3,2,Tuesday,18,0
20160504,2016-05-04,2016,2,5,May,4,3,Wednesday,18,0
20160505,2016-05-05,2016,2,5,May,5,4,Thursday,18,0
20160506,2016-05-06,2016,2,5,May,6,5,Friday,18,0
20160507,2016-05-07,2016,2,5,May,7,6,Saturday,18,1
20160508,2016-05-08,2016,2,5,May,8,7,Sunday,18,1
20160509,2016-05-09,2016,2,5,May,9,1,Monday,19,0
